netId,name,year,major,minor,taggedPref,prefTimeComm
gjone81,Mrs. Rhonda Vaughan,4,Computer Science,Art History,Cultural,1-3 hours
npayn20,Christopher Liu,3,Chemistry,Environmental Studies,Cultural,3-5 hours
cjohn86,Tyler Bell,4,Physics,Journalism,Social,5-10 hours
smcki25,Warren Mccormick,2,Political Science,Music,Technical,10+ hours
mwell79,Beverly Parrish,4,Political Science,Spanish,Technical,10+ hours
tdavi7,Sherri Dominguez,2,Physics,Statistics,Media,10+ hours
dkim64,Oscar Rogers,2,Biology,Theatre,Arts,1-3 hours
mking79,Aaron Brady,2,Art,Philosophy,Professional,3-5 hours
swill89,Robin Berger,4,Physics,Neuroscience,Social,10+ hours
epere72,William Wallace,2,Computer Science,Theatre,Cultural,5-10 hours
smart11,Jeffrey Davis,4,Mathematics,Linguistics,Professional,5-10 hours
mmill83,Brandon Rich,2,History,Statistics,Arts,5-10 hours
mmend32,Lauren Smith,1,English,Women's Studies,Technical,1-3 hours
dsosa21,Matthew Norris,4,Economics,Environmental Studies,Cultural,5-10 hours
mfree40,Joseph Pittman,3,Chemistry,Statistics,Cultural,3-5 hours
gshie1,Jose Irwin,2,Political Science,Music,Media,10+ hours
klivi76,Lisa Nash,1,Engineering,Philosophy,Media,10+ hours
jdavi51,Jennifer Smith,4,English,Spanish,Arts,3-5 hours
dali81,Eric Hooper,2,Engineering,Business,Academic,3-5 hours
dgree96,Michelle Rubio,2,Music,Theatre,Cultural,3-5 hours
jwhit25,Janice Cunningham,4,Engineering,Business,Cultural,3-5 hours
cmcla17,Luis Newton,3,Economics,Philosophy,Professional,10+ hours
mjone9,Rhonda Clark,1,Chemistry,Spanish,Professional,3-5 hours
vcart87,Denise Walker MD,4,Psychology,Art History,Technical,1-3 hours
ehigg34,Rachael Clark PhD,4,Mathematics,Neuroscience,Cultural,1-3 hours
jhowa28,Don Ibarra,3,Political Science,Women's Studies,Social,3-5 hours
jobri18,Chris Rogers,2,Mathematics,Music,Arts,10+ hours
phend36,Debra Martinez,4,Mathematics,Women's Studies,Professional,3-5 hours
vthom15,Sara Parks,2,Engineering,Data Science,Social,5-10 hours
rlope58,Patrick Brennan,1,Physics,Sociology,Cultural,3-5 hours
cjoyc66,Andrew Evans,2,Business,Music,Media,1-3 hours
fsimp5,Pamela Li,3,Music,Philosophy,Media,10+ hours
nwrig38,Michael Barrett,4,Psychology,Art History,Professional,3-5 hours
emart9,Tiffany Lopez,2,English,Linguistics,Arts,5-10 hours
idavi6,Brandon Davis,2,Biology,Anthropology,Arts,10+ hours
jhall95,Michael Mccoy,1,Communications,Business,Arts,5-10 hours
mwill33,Natasha Cruz,1,Art,Data Science,Technical,1-3 hours
jjone75,Nathan Diaz,1,English,Environmental Studies,Arts,10+ hours
mrodr99,Jeremiah Jimenez,4,Art,Women's Studies,Academic,1-3 hours
amars85,Belinda Scott,2,Psychology,Business,Technical,10+ hours
cwals66,Gabriel Taylor,2,Chemistry,Women's Studies,Social,3-5 hours
gbrid67,Beth Schultz,1,Economics,Linguistics,Technical,1-3 hours
pflow3,Mr. Matthew Sanders MD,4,Chemistry,Music,Academic,3-5 hours
cbrow19,Peter Bauer,2,Physics,Art History,Professional,5-10 hours
swarn74,Sandra Lang MD,2,History,Business,Arts,5-10 hours
bpalm18,Anthony Ray,4,Political Science,Art History,Cultural,3-5 hours
tmerc94,Bruce Richard,1,Communications,Sociology,Arts,1-3 hours
skoch6,Martha Cruz,3,Psychology,Women's Studies,Technical,10+ hours
dsmit26,Christy Lucas,3,Engineering,Statistics,Media,5-10 hours
jalva9,Brian Miller,2,Psychology,Theatre,Media,1-3 hours
ewebb96,Lawrence Wright,2,Mathematics,Business,Social,1-3 hours
fpham43,Monique Peterson,3,Chemistry,Environmental Studies,Academic,1-3 hours
tmull37,Monica Fletcher,3,Chemistry,Anthropology,Academic,3-5 hours
ddown74,Wayne Mclaughlin,2,Economics,Data Science,Social,3-5 hours
jsims10,Brian Rodriguez Jr.,1,Physics,Statistics,Cultural,1-3 hours
jrhod70,Melanie Stewart,1,Chemistry,Linguistics,Media,1-3 hours
dking24,Daniel Wilson,3,Political Science,Anthropology,Media,3-5 hours
msmit71,Steven Lee,1,Engineering,Neuroscience,Cultural,3-5 hours
kwong1,Chelsea Lee,2,Political Science,Linguistics,Academic,10+ hours
jvale21,Arthur Byrd,2,Computer Science,Neuroscience,Academic,5-10 hours
krios78,Katherine Brown,2,Biology,Theatre,Arts,5-10 hours
